ticket_id,created_at,closed_at,priority,category,assigned_team,status,sla_target_minutes,resolution_minutes,reopened_count,escalated,customer_segment,source_system
SR-000018,2026-02-02T15:23:00Z,2026-02-04T13:52:00Z,P4,access,service_desk,closed,2880,2789,0,false,enterprise,service_portal
SR-000019,2026-03-11T07:34:00Z,2026-03-11T08:01:00Z,P2,hardware,workplace,closed,480,27,0,false,enterprise,service_portal
SR-000020,2026-02-27T14:29:00Z,2026-02-28T00:17:00Z,P2,application,business_apps,closed,480,588,0,false,smb,service_portal
SR-000021,2026-03-01T01:22:00Z,,P3,network,service_desk,open,1440,,0,false,enterprise,service_portal
SR-000022,2026-02-21T03:56:00Z,2026-02-21T14:04:00Z,P3,reporting,network_ops,closed,1440,608,1,false,smb,service_portal
SR-000023,2026-02-03T03:53:00Z,2026-02-04T10:39:00Z,P3,reporting,service_desk,closed,1440,1846,0,false,enterprise,service_portal
SR-000024,2026-02-11T13:18:00Z,2026-02-13T02:28:00Z,P4,application,workplace,closed,2880,2230,0,false,smb,service_portal
SR-000025,2026-03-14T22:03:00Z,2026-03-15T10:52:00Z,P2,reporting,data_platform,closed,480,769,0,false,internal,service_portal
SR-000026,2026-01-29T10:40:00Z,2026-01-30T02:12:00Z,P2,network,workplace,closed,480,932,0,false,enterprise,service_portal
SR-000027,2026-02-21T23:55:00Z,2026-02-23T03:53:00Z,P3,access,network_ops,closed,1440,1678,0,false,smb,service_portal
SR-000028,2026-03-09T09:00:00Z,2026-03-10T02:14:00Z,P3,access,network_ops,closed,1440,1034,0,false,enterprise,service_portal
SR-000029,2026-03-10T22:39:00Z,2026-03-12T15:16:00Z,P3,application,service_desk,closed,1440,2437,2,false,enterprise,service_portal
SR-000030,2026-03-17T13:36:00Z,,P2,access,network_ops,open,480,,1,false,internal,service_portal
SR-000031,2026-03-16T19:09:00Z,2026-03-18T06:07:00Z,P3,hardware,workplace,closed,1440,2098,0,false,smb,service_portal
SR-000032,2026-01-19T15:27:00Z,2026-01-22T21:16:00Z,P4,application,business_apps,closed,2880,4669,0,false,smb,service_portal
SR-000033,2026-03-20T20:13:00Z,,P3,application,business_apps,open,1440,,0,false,enterprise,service_portal
SR-000034,2026-01-31T02:24:00Z,2026-01-31T05:07:00Z,P2,application,data_platform,closed,480,163,0,true,internal,service_portal
SR-000035,2026-02-26T10:38:00Z,2026-03-01T15:24:00Z,P4,application,service_desk,closed,2880,4606,0,false,smb,service_portal
SR-000036,2026-01-14T16:11:00Z,,P3,reporting,network_ops,open,1440,,0,false,smb,service_portal
SR-000037,2026-03-02T11:35:00Z,2026-03-02T15:35:00Z,P2,access,business_apps,closed,480,240,0,false,internal,service_portal
SR-000038,2026-02-22T01:35:00Z,,P4,reporting,data_platform,open,2880,,0,false,smb,service_portal
SR-000039,2026-01-10T10:46:00Z,2026-01-10T18:17:00Z,P2,reporting,network_ops,closed,480,451,0,false,enterprise,service_portal
SR-000040,2026-03-04T03:08:00Z,2026-03-04T05:15:00Z,P1,access,service_desk,closed,240,127,1,false,internal,service_portal
SR-000041,2026-01-23T18:51:00Z,2026-01-24T06:32:00Z,P2,reporting,data_platform,closed,480,701,0,false,smb,service_portal
SR-000042,2026-03-31T19:49:00Z,2026-04-02T19:30:00Z,P3,network,service_desk,closed,1440,2861,0,false,internal,service_portal
SR-000043,2026-03-06T12:40:00Z,2026-03-07T00:08:00Z,P2,access,service_desk,closed,480,688,0,false,internal,service_portal
SR-000044,2026-03-20T21:41:00Z,,P3,hardware,network_ops,open,1440,,0,false,internal,service_portal
SR-000045,2026-02-24T14:46:00Z,2026-02-27T23:03:00Z,P4,access,service_desk,closed,2880,4817,0,false,smb,service_portal
SR-000046,2026-01-27T05:05:00Z,,P4,application,business_apps,open,2880,,0,false,smb,service_portal
SR-000047,2026-03-19T09:07:00Z,,P3,access,network_ops,open,1440,,1,false,enterprise,service_portal
SR-000048,2026-01-09T02:44:00Z,2026-01-09T06:29:00Z,P3,hardware,business_apps,closed,1440,225,0,false,enterprise,service_portal
SR-000049,2026-01-15T13:29:00Z,2026-01-18T15:27:00Z,P4,hardware,service_desk,closed,2880,4438,0,false,enterprise,service_portal
SR-000050,2026-03-29T22:27:00Z,,P2,access,service_desk,open,480,,0,false,internal,service_portal
SR-000051,2026-01-17T12:45:00Z,2026-01-20T14:44:00Z,P4,reporting,workplace,closed,2880,4439,0,false,enterprise,service_portal
SR-000052,2026-02-22T13:06:00Z,2026-02-23T15:31:00Z,P3,access,network_ops,closed,1440,1585,2,false,enterprise,service_portal
SR-000053,2026-03-21T18:59:00Z,2026-03-22T16:59:00Z,P3,hardware,network_ops,closed,1440,1320,0,false,internal,service_portal
SR-000054,2026-02-23T17:58:00Z,2026-02-24T02:06:00Z,P2,network,data_platform,closed,480,488,0,false,smb,service_portal
SR-000055,2026-03-12T08:40:00Z,2026-03-12T17:47:00Z,P2,reporting,service_desk,closed,480,547,0,false,smb,service_portal
SR-000056,2026-02-14T03:09:00Z,2026-02-14T04:57:00Z,P3,access,service_desk,closed,1440,108,2,false,smb,service_portal
SR-000057,2026-02-05T22:25:00Z,2026-02-07T09:41:00Z,P3,access,network_ops,closed,1440,2116,0,false,smb,service_portal
SR-000058,2026-01-03T09:08:00Z,2026-01-03T20:02:00Z,P2,reporting,network_ops,closed,480,654,1,false,smb,service_portal
SR-000059,2026-03-10T15:50:00Z,2026-03-11T07:29:00Z,P2,reporting,workplace,closed,480,939,0,false,internal,service_portal
SR-000060,2026-01-29T09:33:00Z,2026-01-30T21:40:00Z,P4,access,data_platform,closed,2880,2167,0,false,enterprise,service_portal
SR-000061,2026-02-05T02:58:00Z,,P3,application,data_platform,open,1440,,0,false,internal,service_portal
SR-000062,2026-03-12T15:03:00Z,2026-03-13T13:17:00Z,P3,network,workplace,closed,1440,1334,0,false,internal,service_portal
SR-000063,2026-02-02T12:14:00Z,2026-02-03T11:21:00Z,P3,network,service_desk,closed,1440,1387,0,false,smb,service_portal
SR-000064,2026-02-13T12:16:00Z,2026-02-13T16:46:00Z,P3,access,data_platform,closed,1440,270,1,false,enterprise,service_portal
SR-000065,2026-02-11T03:24:00Z,2026-02-11T07:32:00Z,P3,reporting,data_platform,closed,1440,248,0,false,internal,service_portal
SR-000066,2026-02-08T17:29:00Z,2026-02-09T15:03:00Z,P3,application,network_ops,closed,1440,1294,1,false,enterprise,service_portal
SR-000067,2026-02-27T07:00:00Z,,P3,network,business_apps,open,1440,,0,false,smb,service_portal
SR-000068,2026-02-03T19:16:00Z,2026-02-05T00:59:00Z,P4,network,data_platform,closed,2880,1783,0,true,smb,service_portal
SR-000069,2026-02-12T02:33:00Z,,P3,reporting,business_apps,open,1440,,1,true,smb,service_portal
SR-000070,2026-03-19T13:55:00Z,2026-03-21T11:52:00Z,P3,network,business_apps,closed,1440,2757,0,false,internal,service_portal
SR-000071,2026-03-05T10:14:00Z,2026-03-05T21:23:00Z,P3,access,workplace,closed,1440,669,0,false,enterprise,service_portal
SR-000072,2026-03-21T19:08:00Z,2026-03-22T09:02:00Z,P2,network,workplace,closed,480,834,0,false,smb,service_portal
SR-000073,2026-02-25T00:06:00Z,2026-02-26T20:59:00Z,P3,hardware,service_desk,closed,1440,2693,1,false,smb,service_portal
SR-000074,2026-01-31T03:18:00Z,2026-01-31T07:00:00Z,P4,reporting,data_platform,closed,2880,222,0,false,enterprise,service_portal
SR-000075,2026-03-27T09:39:00Z,,P4,network,network_ops,open,2880,,0,false,smb,service_portal
SR-000076,2026-03-04T16:26:00Z,2026-03-05T08:12:00Z,P3,network,data_platform,closed,1440,946,0,false,internal,service_portal
SR-000077,2026-01-09T08:35:00Z,2026-01-11T03:10:00Z,P4,application,workplace,closed,2880,2555,1,false,smb,service_portal
SR-000078,2026-01-19T06:58:00Z,2026-01-20T17:32:00Z,P3,access,service_desk,closed,1440,2074,1,false,smb,service_portal
SR-000079,2026-03-19T09:53:00Z,,P1,reporting,service_desk,open,240,,0,true,smb,service_portal
SR-000080,2026-01-18T08:59:00Z,2026-01-19T21:16:00Z,P3,reporting,business_apps,closed,1440,2177,0,false,smb,service_portal
SR-000081,2026-03-27T22:26:00Z,2026-03-28T23:30:00Z,P3,network,business_apps,closed,1440,1504,1,false,smb,service_portal
SR-000082,2026-02-02T07:08:00Z,2026-02-02T10:32:00Z,P2,access,workplace,closed,480,204,0,false,smb,service_portal
SR-000083,2026-02-22T21:44:00Z,2026-02-24T08:10:00Z,P3,access,network_ops,closed,1440,2066,0,false,smb,service_portal
SR-000084,2026-02-11T04:27:00Z,2026-02-11T13:20:00Z,P3,application,workplace,closed,1440,533,0,false,internal,service_portal
SR-000085,2026-01-03T08:26:00Z,2026-01-07T00:05:00Z,P4,network,network_ops,closed,2880,5259,0,false,internal,service_portal
SR-000086,2026-02-07T00:32:00Z,,P2,network,network_ops,open,480,,0,false,internal,service_portal
SR-000087,2026-03-28T17:29:00Z,2026-03-30T14:20:00Z,P3,reporting,business_apps,closed,1440,2691,0,false,smb,service_portal
SR-000088,2026-02-07T12:14:00Z,2026-02-08T01:15:00Z,P2,access,business_apps,closed,480,781,0,false,enterprise,service_portal
SR-000089,2026-02-13T12:06:00Z,2026-02-14T20:39:00Z,P3,access,network_ops,closed,1440,1953,1,false,enterprise,service_portal
SR-000090,2026-01-22T23:21:00Z,2026-01-23T09:05:00Z,P3,reporting,service_desk,closed,1440,584,0,false,internal,service_portal
SR-000091,2026-02-09T13:29:00Z,2026-02-09T22:50:00Z,P3,,business_apps,closed,1440,561,0,false,smb,service_portal
SR-000092,2026-01-27T14:49:00Z,2026-01-28T23:17:00Z,P5,reporting,service_desk,closed,1440,1948,0,false,smb,service_portal
SR-000093,2026-03-07T21:52:00Z,2026-03-07T22:22:00Z,P1,hardware,unknown_team,closed,240,30,0,false,internal,service_portal
SR-000094,2026-02-17T00:46:00Z,2026-02-17T09:45:00Z,P3,access,business_apps,closed,999,539,0,false,internal,service_portal
SR-000095,2026-02-10T07:08:00Z,,P3,hardware,service_desk,closed,1440,60,0,false,smb,service_portal
SR-000096,2026-01-25T08:22:00Z,2026-01-25T08:52:00Z,P4,network,business_apps,open,2880,,0,false,internal,service_portal
SR-000097,2026-03-17T15:26:00Z,2026-03-17T15:56:00Z,P3,network,network_ops,closed,1440,-5,0,false,enterprise,service_portal
SR-000098,2026-02-26T03:35:00Z,2026-02-26T03:20:00Z,P3,network,network_ops,closed,1440,60,2,false,smb,service_portal
SR-000099,2026-01-25T08:24:00Z,2026-01-27T04:23:00Z,P3,reporting,data_platform,closed,1440,2639,0,maybe,internal,service_portal
SR-000006,2026-02-15T07:00:00Z,2026-02-15T14:58:00Z,P1,hardware,workplace,closed,240,478,0,false,smb,service_portal
